RH5,RH10,RH15,RH20,RH25,RH30,RH35,RH40,RH45,RH50,RH55,RH60,RH65,RH70,RH75,RH80,RH85,RH90,RH95,RH100,AGB
1.16,3.57,5.58,5.95,7.32,8.82,8.04,8.45,9.5,10.9,12.23,13.63,14.98,16.15,17.42,19.38,22.02,24.08,26.65,35.87,183.8096132
0.7,1.84,3.54,4.33,5.4,6.35,7.38,8.45,9.77,11.18,12.43,13.87,16.5,18.15,19.75,21.27,23.05,24.63,26.3,35.33,254.8453772
0.35,2.4,5.01,5.01,6.41,7.65,8.79,8.74,9.77,11.04,12.26,13.39,14.49,15.64,17.06,18.49,19.86,21.15,22.89,32.34,271.7481148
1.54,4.82,7.43,9.37,10.88,12.3,13.53,14.68,15.88,17.23,19.05,20.75,22.3,23.78,25.43,27.25,29.03,31.22,33.33,42.48,329.8727241
0.48,2.4,4.22,6.3,7.16,8.7,9.02,10.42,11.7,12.97,14.2,15.38,16.73,18.37,19.75,21.32,23.15,25.8,28.45,36.03,231.2113547
0,0,0,0,0.1,0.52,0.73,1.16,1.85,3.57,4.83,7.7,11.32,13.37,16.72,19.38,21.47,23.6,25.68,34.42,111.158801
0,0,0,0.38,0.66,1.22,1.72,2.53,3.55,4.72,6.02,7.47,8.85,10.17,11.67,13.78,16.18,18.1,20.42,29.18,179.4140347
0,1.5,1.8,2.89,2.38,3.45,4.76,5.53,7,8.52,10.02,11.43,13.08,15.38,17.23,18.72,20.07,21.6,23.33,31.37,189.3248191
0,0.55,1.2,1.88,2.72,2.66,3.39,4.67,5.92,6.15,7.22,8.82,10.28,11.73,14.02,15.82,17.92,19.75,21.83,32.03,113.4721694
0,0.55,1,1.65,2.64,3.75,4.39,5.55,5.85,6.95,8.4,9.83,11.13,12.38,13.67,15.42,17.9,20.42,23.33,33.7,180.2565609
6.36,10.99,11.83,13.5,14.78,15.88,15.12,16.42,17.42,18.2,18.95,19.7,20.53,21.37,22.2,23.1,23.97,24.88,25.98,34.67,273.3613959
2.4,4.12,6.53,8.25,9.6,10.83,12.18,13.62,14.78,16.08,17.05,17.83,18.65,19.45,20.27,21.08,22.07,23.15,24.8,33.07,256.1514054
0.4,1.83,3.35,5.65,6.9,9.17,9.82,9.8,10.72,11.65,12.58,13.53,14.62,15.63,16.67,17.82,19.17,20.48,21.9,30.6,190.5921465
3.92,8.1,11.33,14.12,16.32,17.67,18.78,19.77,20.57,21.25,21.9,22.47,23.07,23.77,24.63,25.45,26.37,27.48,29.2,39.37,332.2933528
7.52,10.90333333,13.42333333,15.17333333,16.45666667,17.53,18.51,19.46666667,20.35333333,21.26333333,22.10333333,22.87333333,23.71333333,24.55333333,25.86,27.37666667,28.56666667,29.85,31.71666667,36.80333333,229.9481836
7.1,9.96,14.08,14.43,15.88,16.95,17.82,18.6,19.33,20.07,20.82,21.48,22.27,22.92,23.53,24.12,24.8,25.6,26.78,35.62,285.5751423
6.67,12.68,16.22,18.48,20.22,21.52,22.63,23.57,24.37,25.13,25.88,26.53,27.18,27.8,28.48,29.37,30.37,31.4,32.77,42.78,425.9946308
3.09,7.22,11.02,13.7,16.22,18.18,20.13,21.58,22.62,23.57,24.4,25.18,25.9,26.65,27.32,28.07,28.93,30.02,31.35,39,350.7083511
