latitude,longitude,AGB
-10.75254411,-69.97741322,334.6230012
-8.292266517,-70.64219947,177.5930317
-7.898293949,-72.61397319,159.4965709
-9.78088447,-71.28635669,227.2053745
-10.27329471,-68.59818886,187.7282535
-8.708366091,-71.42961286,255.5140649
-10.07371859,-69.9939596,156.385458
-8.210404138,-69.73619672,393.0691552
-9.282371853,-69.92103938,108.1069462
-9.347267241,-72.9747527,236.8364375
-8.505123144,-71.06301022,356.4979144
-8.394571609,-71.02771918,14.95856739
-8.98966372,-72.85408657,164.913515
-9.188583026,-70.5306733,48.60595244
-8.894482253,-71.69541233,241.5649604
-9.586158293,-70.05805598,199.0870612
-7.985724956,-70.49185247,341.7877704
-8.746780117,-69.91817868,156.3435631
-8.405331555,-73.34934874,160.3142621
-7.661198901,-72.83907011,144.595417
-10.56111095,-69.83392392,130.9963192
-9.878313229,-71.21498116,165.1080798
-9.053696493,-70.54795308,178.065567
-8.56564592,-71.47678849,133.2534001
-10.9231605,-69.83360232,119.0601159
-8.476226511,-72.60710145,268.2034926
-9.489826972,-70.78074593,277.8942784
-9.21869536,-69.78899522,270.1392291
-9.077455903,-70.50063891,146.835299
-8.132773416,-72.44852221,144.1640025
-9.623664244,-70.81601442,339.9863018
-8.837732175,-70.71697745,118.5665701
-8.417014131,-71.9379517,311.6552293
-8.372406651,-71.1317139,182.8201778
-10.486132,-70.19806575,305.3744435
-9.77884764,-67.42309678,184.6917228
-9.586611041,-70.2737599,247.8755226
-8.97682803,-69.78535058,162.0151476
-8.084172978,-70.77605412,216.7326924
-10.03088762,-69.24174037,186.7890454
-8.196088944,-72.38935849,409.4706487
-10.68891212,-68.89090674,399.3278363
-7.457286811,-72.96021044,136.8035111
-9.031626028,-68.94939511,329.63342
-8.91748262,-70.17721813,120.6732148
-9.07716662,-71.68437807,208.094303
-9.43586451,-72.51113898,344.0048079
-10.38254572,-67.98125093,143.1273436
-8.278380069,-73.35473176,316.8661273
-8.81890366,-72.16989203,285.3430802
-8.530025268,-69.6019361,277.8607458
-8.913481608,-70.38832272,220.7185092
-8.289494184,-71.19207383,155.772234
-8.147412904,-73.54909013,245.030797
-8.582137553,-71.75170128,358.7338099
-10.2843016,-69.73295309,214.0124471
-9.743539993,-69.23828304,190.6205804
-10.48064045,-68.93680054,223.8579662
-7.827042567,-73.30311514,183.2913167
-8.566996107,-72.16646454,160.1009554
-10.49354004,-68.78868633,114.7953443
-9.66040244,-68.48920571,192.8396871
-7.866594136,-70.55704406,251.5718753
-7.944165375,-72.58513568,261.5124454
-7.773573683,-71.15832866,147.961091
-10.17393329,-70.47534663,119.5703585
-10.52262187,-70.32511606,239.2484606
-7.53864193,-72.76408165,136.3212449
-8.457490884,-70.52212217,185.5337065
-8.723978106,-72.80081929,122.2592828
