latitude,longitude,AGB
-10.75402305,-69.29801341,246.7982423
-10.13121403,-69.30144422,132.2258325
-10.33153653,-68.66206746,266.1177584
-9.745503011,-69.01781901,202.9722928
-9.944391673,-69.42542295,175.5010402
-10.33432395,-68.60462959,162.3860156
-10.41642434,-69.07760933,171.1226866
-10.20480077,-68.49535642,149.8263427
-10.17522395,-68.52587551,192.7584831
-10.21566876,-69.30399198,206.7611384
-10.09412787,-68.17456584,177.1134905
-10.61613064,-69.00870905,123.1867766
-10.2721775,-69.03360863,228.27478
-10.11878624,-69.51405683,224.601648
-10.71431203,-68.83921946,159.8417668
-10.57729884,-68.98587699,186.8532448
-9.850964241,-68.20622666,134.9839067
-10.02663167,-69.26647746,305.0062099
-9.560508299,-68.55152819,205.3673464
-9.756129314,-68.63979759,149.7466834
-9.701866037,-69.24769424,257.0101181
-9.775778223,-69.06145163,182.3630426
-10.09086666,-69.32785399,217.533596
-10.74765196,-68.81454023,170.3524265
-10.45429041,-69.50902343,140.7667657
-10.40631022,-69.52179208,180.7478786
-10.30882626,-68.80993821,203.6455881
-9.569550507,-68.81472673,258.1208451
-10.03436601,-68.22108306,379.2487609
-10.11407774,-69.26537066,309.1913118
-9.94022311,-69.34680083,293.457689
-10.71621982,-69.11817511,15.67163106
-10.57563725,-69.25771596,189.3348845
-10.06997929,-68.87048395,360.8065178
-10.6227238,-69.29960321,226.8648026
-10.02291279,-68.42093999,325.1423063
-9.737609431,-69.21264701,190.4157444
-9.549955938,-69.6021285,147.3469783
-9.778492648,-68.68459389,157.8676482
-10.55377001,-68.9482,403.7166863
-9.55304879,-68.82437459,294.6491006
-10.22615204,-68.86939511,307.7293046
-9.794064919,-68.22423623,163.2970981
-9.732236532,-68.67125899,127.6683731
-10.13231358,-68.67985539,117.3508522
-10.561944,-68.83211461,252.3201446
-10.44668528,-68.90509761,266.5177257
-9.614841905,-68.52262707,207.0057673
-10.03028744,-68.40479243,237.1108373
-10.34115508,-69.14356011,131.4027264
